基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
005050,长安鑫旺价值混合C,01-26,3.3379,4.71%,14.62%,37.80%,56.86%,94.75%,11.22%,https://www.howbuy.com/fund/005050
001858,建信鑫利混合,01-26,2.4101,3.82%,10.76%,37.74%,62.26%,100.79%,7.28%,https://www.howbuy.com/fund/001858
001225,中邮趋势精选灵活配置混合,01-26,0.8590,2.63%,16.08%,37.66%,38.10%,55.62%,12.43%,https://www.howbuy.com/fund/001225
570001,诺德价值优势混合,01-26,3.5555,7.42%,12.74%,37.51%,59.36%,150.07%,10.43%,https://www.howbuy.com/fund/570001
005875,易方达中盘成长混合,01-26,3.2483,4.29%,17.59%,37.40%,46.70%,100.27%,14.32%,https://www.howbuy.com/fund/005875
240022,华宝资源优选混合A,01-26,2.7060,3.05%,8.67%,37.36%,41.90%,78.61%,9.38%,https://www.howbuy.com/fund/240022
001569,泰信国策驱动混合,01-26,1.7230,4.42%,12.03%,37.29%,47.14%,91.87%,9.40%,https://www.howbuy.com/fund/001569
167001,平安鼎泰混合LOF,01-26,1.4808,6.33%,10.47%,37.20%,37.76%,57.60%,10.10%,https://www.howbuy.com/fund/167001
005827,易方达蓝筹精选混合,01-26,3.2393,6.90%,18.53%,37.19%,51.37%,122.37%,13.02%,https://www.howbuy.com/fund/005827
001135,益民品质升级混合,01-26,1.3430,7.27%,11.36%,37.18%,38.60%,104.10%,7.44%,https://www.howbuy.com/fund/001135
166301,华商新趋势优选混合,01-26,6.5980,1.90%,5.25%,37.17%,43.06%,73.81%,4.32%,https://www.howbuy.com/fund/166301
005544,银华瑞和灵活配置混合,01-26,2.5729,5.98%,14.33%,37.15%,42.80%,86.50%,7.85%,https://www.howbuy.com/fund/005544
005331,益民优势安享混合,01-26,2.0822,6.13%,14.31%,37.12%,48.69%,82.39%,12.54%,https://www.howbuy.com/fund/005331
519126,浦银安盛新经济结构混合,01-26,3.0840,5.40%,17.17%,37.01%,45.68%,98.33%,12.47%,https://www.howbuy.com/fund/519126
005708,国联安远见成长混合,01-26,2.5714,7.49%,11.70%,36.93%,40.65%,84.42%,9.98%,https://www.howbuy.com/fund/005708
398061,中海消费主题精选混合,01-26,5.6560,7.06%,13.44%,36.92%,40.45%,88.09%,11.98%,https://www.howbuy.com/fund/398061
