基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
519193,万家消费成长股票,01-26,2.7378,-0.37%,8.72%,16.77%,23.21%,48.88%,5.09%,https://www.howbuy.com/fund/519193
001047,光大保德信国企改革股票,01-26,2.1870,2.15%,9.51%,16.70%,19.31%,57.23%,4.99%,https://www.howbuy.com/fund/001047
004485,泰达宏利业绩股票C,01-26,1.6982,1.62%,8.68%,16.67%,22.29%,42.49%,5.09%,https://www.howbuy.com/fund/004485
006603,嘉实互融精选股票,01-26,1.4291,4.25%,10.43%,16.52%,14.76%,38.96%,6.28%,https://www.howbuy.com/fund/006603
010013,易方达信息行业精选股票,01-26,1.1569,3.22%,12.99%,16.49%,--,--,10.04%,https://www.howbuy.com/fund/010013
008934,大成科技消费股票A,01-26,1.1630,5.06%,9.48%,16.47%,16.88%,--,6.66%,https://www.howbuy.com/fund/008934
004403,平安股息精选沪港深股票A,01-26,1.6711,0.37%,11.78%,16.47%,30.71%,50.54%,7.86%,https://www.howbuy.com/fund/004403
000471,富国城镇发展股票,01-26,2.5440,2.00%,8.90%,16.43%,27.07%,71.43%,5.43%,https://www.howbuy.com/fund/000471
008736,南方高股息股票A,01-26,1.1753,1.32%,8.88%,16.39%,17.53%,--,4.36%,https://www.howbuy.com/fund/008736
000688,景顺长城研究精选股票,01-26,2.1630,2.17%,10.24%,16.29%,19.77%,40.73%,6.50%,https://www.howbuy.com/fund/000688
001975,景顺长城环保优势股票,01-26,3.3710,2.31%,1.94%,16.28%,31.47%,58.19%,0.42%,https://www.howbuy.com/fund/001975
008935,大成科技消费股票C,01-26,1.1581,5.04%,9.40%,16.24%,16.42%,--,6.60%,https://www.howbuy.com/fund/008935
004404,平安股息精选沪港深股票C,01-26,1.6142,0.35%,11.70%,16.24%,30.18%,49.34%,7.80%,https://www.howbuy.com/fund/004404
007470,博道叁佰智航股票A,01-26,1.8373,1.70%,9.34%,16.23%,22.74%,56.75%,5.71%,https://www.howbuy.com/fund/007470
